X,Y,full_id,attributio,boundary,health_lev,name,ref,ref_dhis2,alt_name
19.7987428293968,-4.32179969857525,r10651712,Référentiel Géographique Commun (RGC.cd),health,6,Ipamu,,jSLnBqCXCzW,
19.0081127423954,-5.51270335629027,r10692074,Référentiel Géographique Commun (RGC.cd),health,6,Mungindu,,CyHuq664hCU,
17.3887572026905,-6.30460020112348,r10692269,Référentiel Géographique Commun (RGC.cd),health,6,Wamba Lwadi,,xUfv1fcnAmb,
15.3040507033516,-4.3416518600637,r10692304,Référentiel Géographique Commun (RGC.cd),health,6,Kasa-Vubu,,TuzDrpZ9zzl,
15.3411714359286,-4.41852758405316,r10693364,Référentiel Géographique Commun (RGC.cd),health,6,Kisenso,,Vv9L3W7VMrX,
15.3512190873101,-4.38912482480858,r10693384,Référentiel Géographique Commun (RGC.cd),health,6,Matete,,UrJlHRGZGGJ,
19.9472516192087,-5.11929771289592,r10698315,Référentiel Géographique Commun (RGC.cd),health,6,Koshibanda,,O3KmMLK10ru,
16.9701851610289,-6.49941662175948,r10699153,Référentiel Géographique Commun (RGC.cd),health,6,Kasongo-Lunda,,eIpu2GCPTIP,
15.3359895592855,-4.35416474020503,r10699237,Référentiel Géographique Commun (RGC.cd),health,6,Limete,,JhJFxKnFvmJ,
17.6497894962855,-7.6695202780141,r10701097,Référentiel Géographique Commun (RGC.cd),health,6,Tembo,,dazaa6QjHa1,
19.8403597346048,-5.70808446952245,r10701242,Référentiel Géographique Commun (RGC.cd),health,6,Mukedi,,Tt1rjDuQtRh,
17.2116466411286,-5.46817114241435,r10701330,Référentiel Géographique Commun (RGC.cd),health,6,Kimbao,,lJaJ763sqNI,Kimbau
18.7087721044225,-5.80800336465635,r10704143,Référentiel Géographique Commun (RGC.cd),health,6,Kingandu,,QVjGTE0nOen,
18.4515057431932,-4.50297862137629,r10704176,Référentiel Géographique Commun (RGC.cd),health,6,Vanga,,fXTBfVcge4w,
18.5596028454496,-4.2235168505238,r10704192,Référentiel Géographique Commun (RGC.cd),health,6,Djuma,,IgSLfQbGSnF,
15.403439277763,-4.40763124101563,r10704911,Référentiel Géographique Commun (RGC.cd),health,6,Kingasani,,ZTt8HbFGrY4,
15.3583331740467,-4.35481129379462,r10705125,Référentiel Géographique Commun (RGC.cd),health,6,Kingabwa,,NwNyAitXVsr,
15.2987720108959,-4.35665155758026,r10705163,Référentiel Géographique Commun (RGC.cd),health,6,Ngiri-Ngiri,,LSvg2jR0rEQ,
15.3085482009199,-4.38295173293247,r10705228,Référentiel Géographique Commun (RGC.cd),health,6,Makala,,SqWL31RNyKx,
15.3220654634071,-4.38086045485957,r10705325,Référentiel Géographique Commun (RGC.cd),health,6,Ngaba,,vvrhCzWzc0J,
19.4204736370446,-4.42021925791569,r10705641,Référentiel Géographique Commun (RGC.cd),health,6,Kimputu,,GaFyM05saxx,
19.4687272613603,-5.15510980180756,r10705831,Référentiel Géographique Commun (RGC.cd),health,6,Idiofa,,riGgtQ9beB5,
18.9006791010448,-4.59729734681041,r10705881,Référentiel Géographique Commun (RGC.cd),health,6,Bulungu,,e6Wpbl5nqcD,
18.205243180375,-4.98983033203816,r10705895,Référentiel Géographique Commun (RGC.cd),health,6,Mosango,,JRaVxSGfJ9Z,
27.543273398666,-11.6182192389656,r10710313,Référentiel Géographique Commun (RGC.cd),health,6,Tshamilemba,,BdGu22qs6aS,
17.7947771625345,-4.93452362633449,r10711380,Référentiel Géographique Commun (RGC.cd),health,6,Masi-Manimba,,VYlgP4yyY7F,
17.7549154692092,-5.42393747591441,r10711412,Référentiel Géographique Commun (RGC.cd),health,6,Moanza,,N1K2MB4mUJ8,
18.2073429740707,-5.53851682526923,r10711575,Référentiel Géographique Commun (RGC.cd),health,6,Pay Kongila,,smw3DtURc1n,
18.5266648736021,-5.07306109208572,r10711627,Référentiel Géographique Commun (RGC.cd),health,6,Lusanga,,WziDY5wD1fX,
20.6746893136772,-4.30754501733741,r10711675,Référentiel Géographique Commun (RGC.cd),health,6,Ilebo,,g9sayFS8d1p,
18.7668691393573,-5.07385673504261,r10711739,Référentiel Géographique Commun (RGC.cd),health,6,Kikwit-Sud,,Y8Hlj8DpZHc,
18.8541117430669,-5.02468660064495,r10711762,Référentiel Géographique Commun (RGC.cd),health,6,Kikwit-Nord,,GaaOhIJU3Bx,
